mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2021,29,f1c55c685c01088181a3ec327b3a1f318c5c906c,05e38532435074a27b4a42c747c4e737af1e58c8,70102,,
2022,37,f1c55c685c01088181a3ec327b3a1f318c5c906c,05e38532435074a27b4a42c747c4e737af1e58c8,70102,,
2023,03,06c25f6196fcf5df1938814ca5e8b847c5f56a43,3a154aaa35974ab7bd044d3307a733fa2ca8891c,70221,,
2021,39,b8c6fa8fd5bf7e154b4f65cf5941346c44268bba,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,,,
2021,41,b8c6fa8fd5bf7e154b4f65cf5941346c44268bba,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,,,
2021,24,b8c6fa8fd5bf7e154b4f65cf5941346c44268bba,189b8753bca870ed4255ef781fd479d72e6743a6,6420,,
2021,39,b8c6fa8fd5bf7e154b4f65cf5941346c44268bba,189b8753bca870ed4255ef781fd479d72e6743a6,6420,,
2021,30,774a07896b55c571dd72dc63ef7f00463172ca75,f636b801004881b69c3bdd0f49038532dc6d39ca,7112,,
2022,20,566d9338dab32694f4915331d149e2795c599131,300c2db091b44c1df7f1306e5b59c74acc64363f,4120,16231,46739
2023,11,566d9338dab32694f4915331d149e2795c599131,300c2db091b44c1df7f1306e5b59c74acc64363f,4120,16231,46739
2021,28,cbcd1196379b1fb73d032e92c741e1b743feebb7,08b6000f85bd26f7ba953af9194f1782be6ff565,4614,6831,
2021,32,cbcd1196379b1fb73d032e92c741e1b743feebb7,08b6000f85bd26f7ba953af9194f1782be6ff565,4614,,
2022,14,cbcd1196379b1fb73d032e92c741e1b743feebb7,08b6000f85bd26f7ba953af9194f1782be6ff565,4614,,
2023,10,cbcd1196379b1fb73d032e92c741e1b743feebb7,08b6000f85bd26f7ba953af9194f1782be6ff565,4614,,
2021,43,fb25aad94ad6c62550433f8d0cddd4ddb5b67c05,60bfd3e1c889b18f4d7717e09198c14f6c30adb9,6420,,
2021,16,ec3d10440b24f12cb8fd35259fbe7df12b118fee,b9f49fb4ee60fc950eaa7c5d116d8b3c34c49ae9,4120,4311,78202
2022,15,ec3d10440b24f12cb8fd35259fbe7df12b118fee,b9f49fb4ee60fc950eaa7c5d116d8b3c34c49ae9,4120,4311,78202
2022,25,ec3d10440b24f12cb8fd35259fbe7df12b118fee,b9f49fb4ee60fc950eaa7c5d116d8b3c34c49ae9,4120,4311,78202
2023,13,ec3d10440b24f12cb8fd35259fbe7df12b118fee,b9f49fb4ee60fc950eaa7c5d116d8b3c34c49ae9,4120,4311,78202
2021,16,ec3d10440b24f12cb8fd35259fbe7df12b118fee,935b2cfc1ca818080106ced5c1810c6ee4908ce2,4120,,
2022,15,ec3d10440b24f12cb8fd35259fbe7df12b118fee,935b2cfc1ca818080106ced5c1810c6ee4908ce2,4120,,
2023,13,ec3d10440b24f12cb8fd35259fbe7df12b118fee,935b2cfc1ca818080106ced5c1810c6ee4908ce2,4120,,
2021,22,d318a9f7f3b37acb2d1132334cadbe0803c2f9fc,c91050dcfb1870191bd121714d515b1fa0b04548,6420,47192,
2022,21,d318a9f7f3b37acb2d1132334cadbe0803c2f9fc,c91050dcfb1870191bd121714d515b1fa0b04548,6420,47192,
2021,09,424c54026ed91305b09e6196557b387dc091b12c,24e6149473a6c3834684676f49e39762080a3546,7810,,
2021,13,424c54026ed91305b09e6196557b387dc091b12c,24e6149473a6c3834684676f49e39762080a3546,7810,,
2021,07,ad23e1b36a1d843ca3abc539004525d6c2b217a7,895234a2f27656436f47d882c18f83e7c1f5ecef,52109,,
2021,52,ad23e1b36a1d843ca3abc539004525d6c2b217a7,895234a2f27656436f47d882c18f83e7c1f5ecef,52109,,
